# Kaimal 1972 / Eurocode 1
time_s,U_ms,u_turbulent_ms,F_drag_N
25.1500,21.4823,1.4823,1695.9659
25.2000,21.2886,1.2886,1665.5268
25.2500,20.9869,0.9869,1618.6477
25.3000,17.1578,-2.8422,1081.8774
25.3500,19.8040,-0.1960,1441.3243
25.4000,20.0489,0.0489,1477.1967
25.4500,19.6725,-0.3275,1422.2579
25.5000,20.0388,0.0388,1475.7142
25.5500,17.1867,-2.8133,1085.5348
25.6000,16.3024,-3.6976,976.6927
25.6500,15.6097,-4.3903,895.4621
25.7000,15.1842,-4.8158,847.3124
25.7500,15.2194,-4.7806,851.2443
25.8000,16.4938,-3.5062,999.7718
25.8500,19.0218,-0.9782,1329.7202
25.9000,17.8542,-2.1458,1171.4883
25.9500,17.9409,-2.0591,1182.8931
26.0000,15.9926,-4.0074,939.9262
26.0500,17.3949,-2.6051,1111.9913
26.1000,19.1034,-0.8966,1341.1547
26.1500,23.5489,3.5489,2037.9693
26.2000,22.2658,2.2658,1821.9359
26.2500,23.1498,3.1498,1969.4841
26.3000,24.5649,4.5649,2217.6233
26.3500,23.0381,3.0381,1950.5190
26.4000,22.7056,2.7056,1894.6195
26.4500,24.2438,4.2438,2160.0185
26.5000,24.5117,4.5117,2208.0290
26.5500,23.8513,3.8513,2090.6541
26.6000,24.3879,4.3879,2185.7796
26.6500,22.8321,2.8321,1915.7930
26.7000,23.9844,3.9844,2114.0409
26.7500,26.0034,6.0034,2484.9483
26.8000,23.9768,3.9768,2112.7108
26.8500,25.0294,5.0294,2302.2717
26.9000,23.8452,3.8452,2089.5731
26.9500,22.4879,2.4879,1858.4693
27.0000,23.2924,3.2924,1993.8234
27.0500,22.6856,2.6856,1891.2909
27.1000,21.4022,1.4022,1683.3479
27.1500,19.9051,-0.0949,1456.0826
27.2000,20.0061,0.0061,1470.8965
27.2500,19.0273,-0.9727,1330.4873
27.3000,17.9549,-2.0451,1184.7390
27.3500,19.5846,-0.4154,1409.5660
27.4000,19.4333,-0.5667,1387.8805
27.4500,18.8479,-1.1521,1305.5240
27.5000,19.5236,-0.4764,1400.8034
27.5500,19.7298,-0.2702,1430.5472
27.6000,17.5238,-2.4762,1128.5355
27.6500,18.3057,-1.6943,1231.4864
27.7000,20.8792,0.8792,1602.0776
27.7500,21.4218,1.4218,1686.4301
27.8000,20.9715,0.9715,1616.2773
27.8500,18.3103,-1.6897,1232.1052
27.9000,20.5576,0.5576,1553.1161
27.9500,21.4048,1.4048,1683.7640
28.0000,23.0829,3.0829,1958.1216
28.0500,21.4902,1.4902,1697.2225
28.1000,21.6555,1.6555,1723.4381
28.1500,23.1781,3.1781,1974.2969
28.2000,23.7235,3.7235,2068.3137
28.2500,24.0605,4.0605,2127.4871
28.3000,23.0544,3.0544,1953.2818
28.3500,20.8219,0.8219,1593.2979
28.4000,19.9459,-0.0541,1462.0518
28.4500,21.1727,1.1727,1647.4467
28.5000,21.5800,1.5800,1711.4370
28.5500,20.4078,0.4078,1530.5513
28.6000,18.3043,-1.6957,1231.3003
28.6500,17.2062,-2.7938,1087.9987
28.7000,16.8235,-3.1765,1040.1419
28.7500,17.1243,-2.8757,1077.6621
28.8000,18.0969,-1.9031,1203.5606
28.8500,19.5366,-0.4634,1402.6714
28.9000,19.9295,-0.0705,1459.6602
28.9500,19.9781,-0.0219,1466.7863
29.0000,18.7695,-1.2305,1294.6869
29.0500,16.5970,-3.4030,1012.3193
29.1000,13.4527,-6.5473,665.0867
29.1500,12.8811,-7.1189,609.7632
29.2000,13.9938,-6.0062,719.6622
29.2500,14.9810,-5.0190,824.7804
29.3000,13.9266,-6.0734,712.7713
